,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,241 Pizza,Chicken Sandwich (Half),580,19,0.2,1120,74,8
,,241 Pizza,Santa Fe Chicken slice (L),300,9,0.3,670,37,4
,,241 Pizza,Canadian slice (L),290,11,0.2,710,36,3
,,241 Pizza,The Greek Tycoon slice (L),290,9,0.2,820,39,4
,,241 Pizza,Santa Fe Chicken slice (M),270,9,0.2,610,33,3
,,241 Pizza,Canadian slice (M),260,9,0.2,630,32,2
,,241 Pizza,The Greek Tycoon slice (M),260,8,0.2,740,35,4
,,241 Pizza,Deluxe slice (L),260,7,0.2,590,36,3
,,241 Pizza,Pepperoni slice (L),260,7,0.2,590,35,2
,,241 Pizza,Hot Mexican slice (L),260,6,0.2,710,38,3
,,241 Pizza,Tandoori Chicken slice (L),260,6,0.1,610,38,4
,,241 Pizza,Three Cheese Fusilli for Two,252,8,0,258,35,3
,,241 Pizza,Hawaiian slice (L),250,6,0.1,590,37,4
,,241 Pizza,Cheddar Habernero Dipping Sauce,240,26,0.4,350,1,1
,,241 Pizza,Bread Sticks w/Cheese (2 sticks),240,6,0.2,380,36,2
,,241 Pizza,Veggie slice (L),240,5,0.1,490,37,3
,,241 Pizza,Breaded Wings (Ave. 3 pieces),230,16,0.3,440,7,0
,,241 Pizza,Deluxe slice (M),230,7,0.2,530,32,2
,,241 Pizza,Pepperoni slice (M),230,7,0.2,530,32,2
,,241 Pizza,Hot Mexican slice (M),230,6,0.2,650,34,3
,,241 Pizza,Tandoori Chicken slice (M),230,5,0.1,570,34,3
,,241 Pizza,Hawaiian slice (M),230,5,0.1,540,33,4
,,241 Pizza,Cheese slice (L),230,5,0.1,490,35,2
,,241 Pizza,Veggie slice (M),220,5,0.1,450,33,3
,,241 Pizza,Garlic Bread w/Cheese (2 slices),210,9,0.1,420,26,2
,,241 Pizza,Cheese slice (M),210,5,0.1,450,32,2
,,241 Pizza,Boneless Wings (Ave. 3-4 pieces),200,8,0,1200,19,0
,,241 Pizza,Bread Sticks (2 sticks),200,3,0,300,36,2
,,241 Pizza,Ranch Dipping Sauce,190,20,0.3,300,3,2
,,241 Pizza,BBQ Wings (Average 3 pieces),190,11,0.1,970,10,8
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Applebees,Appetizer Sampler,2590,173,2.5,6830,182,
,,Applebees,New England Fish & Chips,1930,138,1.5,3180,121,
,,Applebees,Riblet and Chicken Tenders Platter,1870,102,1,4780,151,
,,Applebees,Applebee’s Riblets Platter with sides,1820,88,0.5,5630,161,
,,Applebees,Chili Cheese Nachos,1680,108,2.5,4280,134,
,,Applebees,Spicy Chili Cheese Nachos,1610,103,3,3240,125,
,,Applebees,Spinach & Artichoke Dip,1590,107,1,2560,125,
,,Applebees,Hand-Battered Fish & Chips,1580,107,1.5,1980,107,
,,Applebees,Chocolate Chip Cookie Sundae,1580,76,1,940,218,
,,Applebees,Provolone-Stuffed Meatballs with Fettuccine,1530,93,2.5,3820,113,
,,Applebees,Crispy Orange Chicken,1510,52,0.5,2500,207,
,,Applebees,Three-Cheese Chicken Penne,1470,79,2,3030,124,
,,Applebees,Sizzling Skillet Fajitas - Combo,1470,67,1.5,5580,152,
,,Applebees,Double-Glazed Baby Back Ribs with sides,1460,75,0.5,3620,129,
,,Applebees,Queso Blanco with chili,1440,89,2.5,2680,118,
,,Applebees,Shrimp Fettuccine Alfredo,1440,85,2,3320,110,
,,Applebees,Sizzling Skillet Fajitas - Steak,1410,55,1,5690,152,
,,Applebees,Sizzling Skillet Fajitas - Shrimp,1400,65,1,5310,151,
,,Applebees,Chicken Parmesan,1400,63,1,3660,124,
,,Applebees,Sizzling Skillet Fajitas - Chicken,1370,52,1,4920,149,
,,Applebees,Chicken Broccoli Pasta Alfredo,1360,76,2,2500,107,
,,Applebees,Riblet and Chicken Tenders Basket,1350,74,0.5,3210,113,
,,Applebees,Cheeseburger Sliders add bacon – No sides,1330,87,3,2510,82,
,,Applebees,Cheeseburger Sliders with Applewood Smoked Bacon,1330,87,3,2510,82,
,,Applebees,Queso Blanco,1330,82,2,2400,114,
,,Applebees,Florentine Ravioli with Chicken,1320,88,2.5,3570,71,
,,Applebees,Chicken Tenders Platter,1320,79,1,2760,105,
,,Applebees,Oriental Chicken Salad, Regular,1310,95,1.5,1210,85,
,,Applebees,Pecan-Crusted Chicken Salad, Regular,1310,81,1,2590,104,
,,Applebees,Blue Ribbon Brownie,1310,64,0.5,760,176,
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Arby's,Mozzarella Sticks Large (8),850,45,2,2740,76,9
,,Arby's,Onion Petals Large,830,49,1,830,88,18
,,Arby's,Ultimate BLT,760,45,0,1350,72,17
,,Arby's,Roast Beef & Swiss,760,40,1,1550,74,15
,,Arby's,Ultimate BLT Wrap,740,47,2,1290,64,5
,,Arby's,Chicken Tenders Snack (3),720,42,0,1870,60,0
,,Arby's,Loaded Potato Bites Large,710,44,2,1600,54,0
,,Arby's,Roast Ham & Swiss,660,35,0,1720,76,15
,,Arby's,Turkey Ranch & Bacon,660,24,0,2210,74,17
,,Arby's,Roast Turkey & Swiss,650,33,0,1810,76,17
,,Arby's,Turkey Ranch & Bacon Wrap,640,26,2,2150,66,6
,,Arby's,Roast Turkey & Swiss Wrap,630,35,2,1750,68,6
,,Arby's,Chicken Cordon Bleu,620,31,0,2390,55,6
,,Arby's,Chicken Bacon ‘n Swiss,620,30,0,2470,57,6
,,Arby's,Jalapeno Bites Large (10),610,37,2,1050,58,5
,,Arby's,Roast Chicken Caesar,610,24,0,180,73,15
,,Arby's,Curly Fries (Large),600,32,0,1750,69,0
,,Arby's,Chocolate Shake Large,600,14,1,510,76,93
,,Arby's,Roast Chicken Caesar Wrap,590,26,2,1620,65,4
,,Arby's,Jamocha Shake Large,590,14,1,480,74,93
,,Arby's,Strawberry Shake Large,590,14,1,430,72,89
,,Arby's,Homestyle Fries (Large),580,26,0,1220,77,0
,,Arby's,Chicken Breast Fillet,570,28,0,2060,55,7
,,Arby's,Chicken Tenders Snack (2),560,32,0,1470,49,0
,,Arby's,Baked Potato–Deluxe,550,30,2,700,57,3
,,Arby's,Large Roast Beef,530,21,2,1780,33,6
,,Arby's,Roast Chicken Club,500,27,0,1450,37,8
,,Arby's,Vanilla Shake Large,500,14,1,430,50,71
,,Arby's,Bacon ‘n Cheddar Deluxe,490,29,0,1120,37,7
,,Arby's,French Dip Sandwich,470,15,1,1920,56,4
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Beard Papa's,Fondant au Chocolate Cream Puff,370,19,,115,42,12
,,Beard Papa's,Vanilla Custard Cream Puff,220,13,,140,22,7
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Blenz,PB Banana Chocolate,727.82,31.48,0.11,298.98,81.1,
,,Blenz,Power MochaChillo,506.07,14.32,0.13,254.82,63.95,
,,Blenz,Strawberry Banana,476.3,7.09,0.13,238.49,77.45,
,,Blenz,Mango Banana,457.3,7.09,0.13,237.49,71.45,
,,Blenz,Mixed Berries,443.3,8.09,0.13,237.49,66.45,
,,Blenz,FruitChillo w/ Ice Cream,425,9.4,0,77,20,
,,Blenz,Hot Chocolate,417,21,0.1,134,38,
,,Blenz,Iced Chocolate,417,21,0,134,38,
,,Blenz,Power Matcha,411.9,7.09,0.13,235.69,60.66,
,,Blenz,FruitChillo w/ Yoghurt,400,8,0,52,16,
,,Blenz,MochaChillo,393,24,0,95,41,
,,Blenz,Café Mocha,388,18,0.1,105,37,
,,Blenz,FruitChillo,380,0,0,0,90,
,,Blenz,Iced Mocha,366,22,0.1,115,40,
,,Blenz,Caramel CappaChillo,280,15,0,93,42,
,,Blenz,CappaChillo,252,11,0,90,36,
,,Blenz,Caramel Macchiatto,182,5,0.1,132,40,
,,Blenz,Chai Latte,171,4,0,99,25,
,,Blenz,Steamed Milk,160,6,0.1,148,15,
,,Blenz,Café Latte,119,4,0.1,107,11,
,,Blenz,Iced Matcha Latte,116,4,0.1,107,11,
,,Blenz,Matcha Latte,116,4,0.1,107,11,
,,Blenz,Iced Latte,96,3,0.1,80,7,
,,Blenz,Shaken Iced Tea,80,0.6,0,0,0,
,,Blenz,London Fog Latte,29,1,0.1,35,4,
,,Blenz,Strawberry Tea Latte,29,1,0.1,35,4,
,,Blenz,Royal Tea Latte,29,1,0.1,35,4,
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Boozabase,Red, White, Blush Magnum Bottle,1360,0,,190,,
,,Boozabase,A&W Root Beer Milkshake - Regular,1080,29,1,750,173,158
,,Boozabase,Peach Sangria Pitcher,1010,0,,200,158,
,,Boozabase,Berry Sangria Pitcher,910,0,,50,138,
,,Boozabase,Lobsterita®,890,0,,860,183,
,,Boozabase,Tropical Sangria Pitcher,870,0,,45,126,
,,Boozabase,Red, White, Blush Bottle,640,0,,90,,
,,Boozabase,Pina Colada,526,16.9,,158,61.3,
,,Boozabase,Top-Shelf Margarita – Frozen,520,0,,640,97,
,,Boozabase,Cranberry Juice, Carafe,520,0,0,140,132,132
,,Boozabase,Cappuccino MooLatté - 16 oz.,510,18,0.4,190,83,73
,,Boozabase,Arctic Rush Float, All Flavours - Medium,500,9,0.4,160,100,88
,,Boozabase,White, Blush or Red – Bottle,490,0,,70,27,
,,Boozabase,Grapefruit Juice, Carafe,480,0,0,260,120,120
,,Boozabase,Classic Margarita – Frozen,470,0,,590,96,
,,Boozabase,Premium Orange Juice, Carafe,440,1,0,0,104,88
,,Boozabase,Fanta Apple - Medium,430,0,0,140,118,118
,,Boozabase,Margherita,420,10,,970,56,
,,Boozabase,Sparkling Wine – Bottle,420,0,,60,6,
,,Boozabase,Café Mocha,388,18,0.1,105,37,
,,Boozabase,Iced Peppermint Mocha,370,17,0,80,50,44
,,Boozabase,Sunset Passion Colada,360,8,,15,63,
,,Boozabase,Berry Mango Daiquiri,350,0,,30,62,
,,Boozabase,Bahama Mama,350,0,,20,51,
,,Boozabase,Strawberry-Mango Frozen Margarita,350,0,,20,68,
,,Boozabase,Strawberry Frozen Margarita,340,0,,25,67,
,,Boozabase,Iced Cinnamon Dolce Latte,320,15,0,95,55,35
,,Boozabase,Frozen Cappuccino,320,10,,,60,
,,Boozabase,A&W Root Beer - Regular,320,0,0,70,85,85
,,Boozabase,Iced Gingerbread Latte,310,15,0,100,55,32
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Boston Pizza,Boston's Smoky Mountain Spaghetti and Meatballs,1800,63,1,3120,232,20
,,Boston Pizza,Jambalaya Fettuccini,1480,76,0,3350,139,11
,,Boston Pizza,Baked Chipotle Bacon Penne,1430,88,2,2740,114,14
,,Boston Pizza,Spicy Italian Penne,1420,76,0,2430,136,12
,,Boston Pizza,Chicken and Mushroom Fettuccini,1200,51,0,1650,138,12
,,Boston Pizza,Teriyaki Rice Bowl,1190,35,0,2360,166,48
,,Boston Pizza,Crispy Chicken Pecan,1150,93,1,1530,32,12
,,Boston Pizza,Scallop & Prawn Fettuccini,1150,49,0,1860,138,11
,,Boston Pizza,Fettuccini Carbonara,1150,42,1,2540,147,12
,,Boston Pizza,Boston Cheesesteak,1140,49,1,3900,113,4
,,Boston Pizza,Twist Bread Full Order,1140,39,0,2810,165,13
,,Boston Pizza,Nachos,1130,67,2,1970,91,4
,,Boston Pizza,BP's Prime Rib Burger With Cheddar & Bacon,1120,82,3,2230,47,8
,,Boston Pizza,Tuscan Linguini,1060,29,0,2690,170,39
,,Boston Pizza,BP's Prime Rib Burger With Cheddar,1050,77,3,2080,47,8
,,Boston Pizza,Cajun Shrimp Individual pizza,1050,56,1,2070,90,5
,,Boston Pizza,Greek Salad Regular,1040,105,1,1960,25,12
,,Boston Pizza,Breaded Wings Double Order,1020,65,0,3010,40,8
,,Boston Pizza,BP's Prime Rib Burger With Bacon,1000,73,2,2000,47,8
,,Boston Pizza,Baked Shrimp and Feta Penne,1000,40,1,2050,110,12
,,Boston Pizza,Cajun Rice Bowl,980,41,0,1830,98,10
,,Boston Pizza,Great White North Individual pizza,970,39,1,2740,92,11
,,Boston Pizza,Oven-Roasted Chicken Quesadilla,960,47,1,1630,92,6
,,Boston Pizza,The Meateor Individual pizza,960,39,1,2530,91,7
,,Boston Pizza,Bandera Pizza Bread,950,53,1,1820,87,8
,,Boston Pizza,BP's Prime Rib Burger The Original Burger,940,68,2,1860,47,8
,,Boston Pizza,Homestyle Lasagna,930,48,1,2280,68,14
,,Boston Pizza,Tuscan Individual pizza,930,36,1,1620,106,16
,,Boston Pizza,Spicy Perogy Individual pizza,920,42,1,1010,93,5
,,Boston Pizza,Bacon Double Cheeseburger Individual pizza,920,39,1,1830,94,13
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Burger King,Triple Whopper Sandwich with cheese,1240,83,3,1470,49,11
