"mealname","Measure ()","Weight (g)","Energy (kcal)","Energy (kJ)","Protein (g)","Carbohydrate (g)","Total Sugar (g)","Total Dietary Fibre (g)","Total Fat (g)","Saturated Fat (g)","Cholesterol (mg)","Calcium (mg)","Iron (mg)","Sodium (mg)","Potassium (mg)","Magnesium (mg)","Phosphorus (mg)","Thiamin (mg)","Riboflavin (mg)","Niacin (NE)","Folate (DFE)","Vitamin A (RAE)","Vitamin C (mg)","Alcohol (g)","Caffeine (mg)","Vitamin D (µg)","Vitamin B12 (µg)","Monounsaturated Fat (g)","Polyunsaturated Fat (g)","Vitamin E (mg)","Lycopene (µg)","Beta Carotene (µg)","DHA (g)","EPA (g)","Trans Fats (g)","Trans Fat (g)","Dietary Folate Equivalents (µg)","CATEGORY","SUBCATEGORY"
"Hotdog, beef wiener + condiments","1","112","250","1046","10","28","6","0.9","11","3.8","23","71","2.3","898","173","25","109","0.2","0.14","2.5","78","8","0","0","0","0.3","0.65","4.4","0.7","0.1","2586","0","0","0","0","0","0","MIXED DISHES","MIXED"
"Chicken sandwich, breaded chicken + condiments + vegetables","1","228","632","2640","29","42","","2.2","39","12.4","78","258","3.6","1238","333","43","406","0.4","0.46","14.9","154","164","3","0","0","0.4","0.46","13.7","9.9","","","175","","","1.5","","","FAST FOODS","SANDWICHES"
"Chicken sandwich, grilled chicken + condiments + vegetables","1","169","335","1402","33","23","3","1.2","12","2.2","78","70","2.1","330","449","37","36","0.2","0.24","20.3","83","23","2","0","0","0.2","0.41","3.1","5.5","1.4","386","107","0.01","0.01","0.2","","","FAST FOODS","SANDWICHES"
"Club sandwich","1","246","558","2335","32","47","5","2.8","26","5.8","76","152","4.5","1152","480","47","347","","","","163","43","6","","","","0.48","","","","","","","","","","","MIXED DISHES","SANDWICHES"
"Fish sandwich with breaded fish","1","183","523","2189","21","48","","2.4","29","8.1","68","185","3.5","939","353","37","311","0.5","0.42","8.3","134","","3","0","0","0.9","1.08","8.9","9.4","","","98","","","0.0","","","FAST FOODS","SANDWICHES"
"Hot chicken sandwich","1","284","388","1621","40","31","2","1.7","10","3.0","89","109","4.7","1344","519","43","327","","","","96","0","0","","","","0.54","","","","","","","","","","","MIXED DISHES","SANDWICHES"
"Sandwich, egg salad","1","157","479","2003","14","27","3","1.2","35","6.6","335","119","2.9","693","155","19","187","","","","121","153","0","","","","0.92","","","","","","","","","","","MIXED DISHES","SANDWICHES"
"Sandwich, ham","1","121","260","1089","13","28","2","2.1","10","2.6","32","92","2.5","1132","229","25","139","","","","93","49","3","","","","0.24","","","","","","","","","","","MIXED DISHES","SANDWICHES"
"Sandwich, roast beef, plain","1","139","346","1447","22","33","","2.5","14","3.6","51","54","4.2","792","316","31","239","","","","69","11","2","","","","1.22","","","","","","","","","","","MIXED DISHES","SANDWICHES"
"Sandwich, salmon salad","1","162","340","1422","16","33","5","1.7","16","2.9","27","222","2.5","818","271","31","257","","","","105","27","1","","","","2.45","","","","","","","","","","","MIXED DISHES","SANDWICHES"
"Sandwich, tuna salad","1","162","371","1552","20","33","5","1.7","18","2.9","15","93","2.9","745","220","32","233","","","","97","30","1","","","","1.25","","","","","","","","","","","MIXED DISHES","SANDWICHES"
"Submarine sandwich (6 inches), vegetarian","1","167","216","904","7","38","3","3.4","4","0.8","0","77","2.7","529","236","27","88","0.3","0.21","4.5","213","25","20","0","0","0.0","0","1.8","1.1","","983","277","0.00","0.00","0.2","","","FAST FOODS","SANDWICHES"
"Submarine sandwich (6 inches), with cold cuts","1","228","456","1906","22","51","","3.0","19","6.8","36","189","2.5","1651","394","68","287","1.0","0.80","9.6","109","71","12","0","0","0.2","1.09","8.2","2.3","","","142","","","0.9","","","FAST FOODS","SANDWICHES"
"Submarine sandwich (6 inches), with grilled/roasted chicken","1","229","417","1742","24","44","3","3.3","16","2.8","47","81","3.0","722","437","44","104","0.4","0.30","14.8","255","37","12","0","0","0.1","0.20","4.2","7.8","2.0","875","245","0.01","tr","0.3","","","FAST FOODS","SANDWICHES"
"Submarine sandwich (6 inches), with tuna","1","256","584","2440","30","55","","2.9","28","5.3","49","74","2.6","1293","335","79","220","0.5","0.33","17.1","135","46","4","0","0","0.3","1.61","13.4","7.3","","","45","","","1.3","","","FAST FOODS","SANDWICHES"
"Wrap sandwich, chicken ranch","1","249","532","2227","32","44","3","3.5","25","6.7","77","134","3.3","847","544","50","235","0.5","0.37","18.1","146","50","12","0","0","0.3","0.47","8.3","7.6","tr","875","246","0.01","tr","1.0","","","FAST FOODS","SANDWICHES"
