Nutrient Value of Some Common Foods - 2008 Edition,,,,,,,,,,,,,,,,,,,,,
BAKED GOODS,,,,,,,,,,,,,,,,,,,,,
Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Thiamin,Riboflavin,Niacin,Folate 
"BISCUITS, CROISSANTS, AND MUFFINS",,,,,,,,,,,,,,,,,,,,,
"Biscuit, plain or buttermilk, fast food",1,51,186,776,3,25,2,0.7,8,1.3,1,25,1.7,537,114,9,219,0.2,0.15,2.4,58
"Biscuit, plain or buttermilk, from mix, baked",1,30,97,404,2,14,3,0.4,4,1,2,54,0.6,273,55,7,136,0.1,0.11,1.4,31
"Biscuit, plain or buttermilk, homemade",1,60,212,888,4,27,1,0.9,10,2.6,2,141,1.7,348,73,11,98,0.2,0.19,2.6,57
"Biscuit, plain, refrigerated dough, baked",1,27,93,391,2,13,tr,0.4,4,1,0,5,0.7,325,42,4,104,0.1,0.06,1.2,37
"Croissant, butter",1,57,231,968,5,26,6,1.5,12,6.6,38,21,1.2,424,67,9,60,0.2,0.14,2.2,74
"Muffin, blueberry, from mix, prepared",1,54,149,623,3,24,tr,0,5,1.2,32,14,0.6,216,41,6,93,0.1,0.17,1.9,61
"Muffin, bran, from mix, prepared",1,55,159,666,4,27,tr,0,5,1.4,32,18,1.5,271,84,33,189,0.1,0.13,2.9,38
"Muffin, bran, homemade",1,57,199,833,4,32,13,3.7,8,0.9,23,82,2.3,242,363,80,129,0.1,0.16,3,37
"Muffin, carrot, commercial",1,113,344,1439,7,49,17,1.9,14,1.6,34,100,2.2,396,208,18,117,0.3,0.31,4.1,90
"Muffin, chocolate chip, commercial",1,113,366,1530,8,53,16,2.4,14,5.3,37,116,2.9,341,192,34,147,0.3,0.35,4.6,102
"Muffin, fruit, commercial",1,113,313,1309,6,54,22,2.9,7,1.6,34,64,1.8,505,139,18,223,0.2,0.14,2.5,129
"Muffin, fruit, homemade",1,57,162,679,4,23,,0.9,6,1.2,21,108,1.3,251,70,9,83,0.2,0.16,2,42
"COOKIES, GRANOLA BARS AND OTHER BARS",,,,,,,,,,,,,,,,,,,,,
"Breakfast bar, Oatmeal to GoTM",1,47,197,825,3,33,10,2.4,5,0.9,tr,17,4.2,202,102,,,0.7,,1.7,
"Cereal bar, fruit filled, Nutri-GrainTM",1,37,135,566,2,26,14,1.2,3,0.5,tr,17,0.6,96,72,3,43,0.1,0.04,0.8,
"Chocolate chip, commercial",2,20,98,409,1,13,7,0.6,5,1.5,,7,0.7,59,30,10,23,tr,0.05,0.7,20
"Chocolate chip, homemade",2,32,156,653,2,19,,0.9,9,2.6,10,12,0.8,116,72,18,32,0.1,0.06,0.8,15
"Chocolate chip, refrigerated dough, baked",2,24,118,494,1,16,,0.4,5,1.9,6,7,0.6,56,48,6,18,tr,0.05,0.7,17
Chocolate coated marshmallow,2,30,129,541,1,21,14,0.6,4,2.2,tr,6,0.9,46,43,11,29,tr,0.06,0.4,11
Chocolate sandwich,2,20,93,390,1,14,8,0.6,4,1.8,0,4,2.1,97,37,10,18,tr,0.03,0.8,17
"Coconut macaroons, homemade",2,48,194,811,2,35,34,0.9,6,5.4,0,3,0.4,119,75,10,21,tr,0.05,0.4,2
Fig,2,32,111,466,1,23,15,1.5,2,0.4,0,20,0.9,112,66,9,20,0.1,0.07,0.8,17
Ginger snaps,2,14,58,244,1,11,3,0.3,1,0.3,0,11,0.9,92,48,7,12,tr,0.04,0.6,20
"Graham crackers, plain or honey",2,14,59,248,1,11,4,0.4,1,0.2,0,3,0.5,85,19,4,15,tr,0.04,0.8,9
"Granola bar, hard, chocolate chip",1,24,105,440,2,17,,1.1,4,2.7,0,18,0.7,83,60,17,49,tr,0.02,0.7,3
"Granola bar, hard, plain",1,25,118,493,3,16,,1.3,5,0.6,0,15,0.7,74,84,24,69,0.1,0.03,1.1,6
"Granola bar, soft, chocolate chip, graham and marshmallow",1,26,109,454,1,20,6,1,3,0.6,0,6,0.6,90,48,18,53,tr,0.04,0.5,3
"Granola bar, soft, nuts and raisins",1,28,127,532,2,18,,1.6,6,2.7,tr,24,0.6,71,110,25,67,0.1,0.05,1.2,8
"Granola bar, soft, peanut butter, chocolate coated",1,37,188,788,4,20,,1,12,6.3,4,40,0.5,71,125,25,84,tr,0.08,2,9
"Granola bar, soft, plain",1,28,124,519,2,19,,1.3,5,2,tr,29,0.7,78,91,21,64,0.1,0.05,0.6,7
Molasses,2,30,129,539,2,22,5,0.3,4,1,0,22,1.9,138,104,16,29,0.1,0.08,1.3,44
"Muffin bar (Hop&GoTM, Sweet MorningsTM)",1,50,178,746,2,30,18,0.6,6,1,20,7,0.8,175,64,7,26,0.1,0.1,1.4,33
"Oatmeal, with raisins, commercial",2,26,117,489,2,18,6,0.7,5,1.2,0,10,0.7,100,37,9,36,0.1,0.06,1,19
"Oatmeal, without raisins, homemade",2,30,134,561,2,20,,0.7,5,1.1,11,32,0.8,179,55,13,50,0.1,0.05,0.8,14
Peanut butter sandwich,2,28,134,560,2,18,10,0.5,6,1.4,0,15,0.7,103,54,14,53,0.1,0.07,1.6,26
"Peanut butter, homemade",2,40,190,794,4,24,,1.5,10,1.8,12,16,0.9,207,92,16,46,0.1,0.08,2.1,32
"Shortbread, commercial, plain",2,16,80,336,1,10,2,0.3,4,1,3,6,0.4,73,16,3,17,0.1,0.05,0.8,18
"Shortbread, homemade",2,33,185,773,2,19,7,0.5,12,7.3,31,6,0.7,130,20,4,20,0.1,0.08,1.3,32
Social TeaTM,2,10,45,187,1,7,1,0.2,1,0.3,0,4,0.3,39,10,2,11,tr,0.03,0.5,17
"Sugar cookies, commercial",2,30,143,600,2,20,11,0.2,6,1.6,15,6,0.6,107,19,4,24,0.1,0.06,1.2,25
"Sugar cookies, homemade",2,32,142,592,2,25,16,0.4,4,1.1,8,18,0.6,72,23,3,23,0.1,0.07,1,24
Vanilla wafers,2,12,57,237,1,9,,0.2,2,0.6,0,3,0.3,37,13,1,8,tr,0.03,0.5,8
Cakes,,,,,,,,,,,,,,,,,,,,,
"Angelfood, commercial (25cm diam)",  1/12,28,73,306,2,16,,0.4,tr,tr,0,40,0.1,212,26,3,9,tr,0.14,0.6,16
"Angelfood, from mix (25cm diam)",  1/12,50,129,538,3,29,15,0.1,tr,tr,0,42,0.1,255,68,4,116,tr,0.1,0.7,14
"Banana bread, homemade (11cm X 6cm X 1cm)",1 slice,60,196,818,3,33,,0.7,6,1.3,26,13,0.8,181,80,8,35,0.1,0.12,1.4,29
"Boston cream pie, commercial",  1/6 ,92,232,970,2,39,33,1.3,8,2.2,34,21,0.3,132,36,6,45,0.4,0.25,0.7,17
"Brownies, commercial (5cm X 5cm)",1 square,34,138,576,2,22,12,0.7,6,1.4,6,10,0.8,106,51,11,34,0,0.07,0.9,24
"Brownies, homemade (5cm X 5cm)",1 square,36,168,702,2,18,,0.8,10,2.6,26,21,0.7,123,63,19,48,0.1,0.07,0.8,14
"Carrot, homemade with cream cheese icing (2 layer, 23cm diam)",  1/12,133,542,2266,5,70,52,1.5,28,3.8,73,49,1.6,201,131,10,70,0.2,0.22,2.7,57
"Cheesecake, commercial (15 cm diam)",  1/6 ,100,321,1342,6,26,,0.4,23,9.9,55,51,0.6,207,90,11,93,tr,0.19,1.3,20
"Cheesecake, from mix, no-bake type (20cm diam)",  1/8 ,149,407,1702,8,53,,2.8,19,9.9,43,255,0.7,564,313,28,347,0.2,0.39,2.4,57
"Cheesecake, plain, homemade with cherry topping (20cm diam)",  1/8 ,168,459,1920,11,55,45,0.8,23,8.8,75,65,1.6,496,146,12,124,tr,0.24,2.8,23
"Chocolate, from mix, with icing (23cm diam)",  1/12,109,362,1513,4,61,47,2,13,1.9,43,63,1.6,396,177,27,141,0.1,0.13,1.9,26
"Chocolate, frozen, commercial, with chocolate icing (1 layer, 5cm X 20cm diam)",  1/6 ,85,,,,,,,,,,,,,,,,,,,
"Chocolate, homemade, with icing (2 layer, 23cm diam)",  1/12,109,408,1706,4,67,52,1.9,16,5,28,66,2.5,253,138,34,91,0.1,0.15,2,36
"Coffee cake, cinnamon with crumb topping, commercial",  1/10,57,237,991,4,26,,1.1,13,3.3,18,31,1.1,199,70,12,61,0.1,0.13,1.7,46
"Coffee cake, cinnamon with crumb topping, from mix (20cm X 15cm)",  1/10,45,142,596,2,24,13,0.5,4,0.8,22,61,0.6,189,50,8,96,0.1,0.08,1.2,33
"Fruitcake, commercial",1 piece,43,139,583,1,26,13,1.6,4,0.5,2,14,0.9,116,66,7,22,tr,0.04,0.6,14
"Gingerbread, from mix (23cm X 23cm)",  1/9 ,69,212,889,3,35,22,0.8,7,1.8,22,47,2.3,315,166,11,113,0.1,0.13,1.9,28
"Pound cake, homemade  (23cm X 13cm X 7.5cm)",  1/10,91,391,1633,5,42,22,0.4,23,4.1,96,22,2.1,368,66,7,59,0.2,0.23,3,62
