,,,,,,,,,,,,,,,,,,,,,,,
"Nutrient Value of Some Common Foods, 2008 Edition",,,,,,,,,,,,,,,,,,,,,,,
EGGS AND EGG DISHES,,,,,,,,,,,,,,,,,,,,,,,
Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Phosphorus,Vitamin A,Vitamin D,Folate ,Vitamin B12,Vitamin E,,
,,g,kcal,kJ,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,RAE,µg,DFE,µg,mg,,
"Egg substitute, frozen (yolk replaced), cooked",2 eggs,111,226,947,14,4,17,2.9,4.6,8.8,2,89,2.4,291,258,88,60,1.9,14,0.35,2.2,,
"Egg white, cooked",1 large,33,16,66,3,tr,0,0,0,0,0,3,tr,106,39,4,0,0,0,0.01,0,,
"Egg yolk, cooked",1 large,17,59,249,3,1,6,1.7,2.3,0.8,202,22,0.7,34,17,64,106,0.8,30,0.88,1.4,,
"Egg, fried",2 large,92,173,726,12,2,14,3.6,5.8,2.7,367,46,1.4,322,116,127,236,1.9,54,1.62,2.7,,
"Egg, hard-boiled",1 large,50,78,324,6,1,5,1.6,2.0,0.7,216,25,0.6,62,63,86,85,0.7,22,0.56,0.5,,
"Egg, poached",1 large,50,74,308,6,tr,5,1.5,1.9,0.7,215,27,0.9,147,67,95,70,0.4,24,0.64,0.5,,
Eggs benedict,2 eggs,310,572,2393,34,30,35,12.5,14.2,4.9,458,189,4.0,2015,456,453,265,2.1,113,1.96,1.7,,
"Eggs, scrambled, made with 2 eggs",2 eggs,124,189,792,13,4,14,4.1,5.9,2.7,363,90,1.4,476,171,160,253,2.3,55,1.73,2.6,,
"Omelet, cheese, made with 2 eggs",1 omelet,150,273,1142,18,5,20,8.0,7.8,2.8,376,238,1.6,890,241,356,304,2.3,56,1.99,2.7,,
"Omelet, spanish, made with 2 eggs (mushrooms, onions, green peppers, tomatoes)",1 omelet,290,319,1336,15,13,24,5.7,10.4,6.3,353,111,1.8,607,514,211,403,4.3,72,1.70,3.7,,
"Omelet, western, made with 2 eggs (green peppers, ham, onions)",1 omelet,158,237,993,17,5,17,5.1,7.3,2.9,346,86,1.5,720,258,202,231,2.2,53,1.72,2.5,,
