,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nutrient Value of Some Common Foods, 2008 edition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST FOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Folate ,Vitamin C,Vitamin B12,,,Thiamin,Riboflavin,Niacin,Lycopene,Beta carotene,Vitamin D,DHA,EPA,Trans fats,Monounsaturated fat,Polyunsaturated fat,Vitamin E,Caffeine,Alcohol
,,g,kcal,kJ,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,RAE,DFE,mg,µg,,,mg,mg,NE,µg,µg,µg,g,g,g,g,g,mg,mg,g
BEVERAGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milk shake, chocolate",250mL,175,223,931,6,36,33,3.3,6,4.1,23,198,0.5,170,351,30,179,46,9,1,0.60,,,0.1,0.43,1.7,0,9,1.5,0.00,0.00,0.2,1.9,0.2,,2,0
"Milk shake, vanilla",250mL,175,195,814,6,31,31,0.2,5,3.3,19,214,0.2,144,305,21,179,65,9,1,0.63,,,0.1,0.32,1.8,0,9,1.6,0.00,0.00,0.2,1.5,0.2,,0,0
SIDE DISHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French fries,20-25 fries,76,236,989,3,29,,2.5,12,5.0,11,12,1.0,124,541,25,101,2,25,4,0.09,,,0.1,0.03,2.4,,13,0.0,,,2.3,5.4,1.3,,0,0
Garlic Bread,2 slices,52,192,801,5,26,tr,1.5,8,1.3,0,40,1.3,384,65,14,56,74,97,tr,0.01,,,0.2,0.17,3.2,0,0,1.0,0.00,0.00,0.9,3.3,2.4,,0,0
"Onion rings, breaded and fried",8-9,83,276,1152,4,31,,1.7,16,7.0,14,73,0.8,430,129,16,86,1,85,1,0.12,,,0.1,0.10,1.7,,5,,,,3.3,6.7,0.7,,0,0
"Zucchini, breaded and fried, sticks",4,36,60,250,1,3,1,0.3,5,0.5,5,18,0.2,44,81,6,36,8,9,3,0.05,,,tr,0.06,0.4,0,24,0.1,tr,0.00,0.2,2.8,1.4,0.0,0,0
SANDWICHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Breakfast bagel, with ham, egg and cheese",1,191,483,2019,27,52,7,0.4,18,7.8,243,185,4.1,1259,262,40,397,181,172,0,1.39,,,0.7,0.60,,,,,0.07,0.00,,5.7,3.3,,,
"Breakfast biscuit with egg, cheese and bacon",1,144,477,1993,16,33,3,1.1,31,11.4,261,164,2.5,1260,230,20,459,,64,2,1.05,,,0.3,0.43,5.9,,86,1.0,,,0.3,14.2,3.5,,0,0
"Breakfast English muffin with egg, cheese and bacon",1,137,289,1208,17,27,3,1.5,13,4.7,234,151,2.4,729,199,23,270,177,86,2,0.67,,,0.5,0.45,6.4,,59,1.1,,,0.1,4.7,1.6,,0,0
"Cheeseburger, double patty + condiments + vegetables",1,228,650,2718,30,53,,1.8,35,12.8,93,169,4.7,921,390,36,349,,131,3,2.07,,,0.6,0.43,14.6,,81,0.7,,,1.3,12.6,6.4,,0,0
"Cheeseburger, single patty, plain",1,102,319,1335,15,32,6,1.3,15,6.5,50,141,2.4,500,164,21,196,,,0,0.97,,,0.4,0.40,6.8,,28,0.3,,,0.6,5.8,1.5,,0,0
"Chicken sandwich, breaded chicken + condiments + vegetables",1,228,632,2640,29,42,,2.2,39,12.4,78,258,3.6,1238,333,43,406,164,154,3,0.46,,,0.4,0.46,14.9,,175,0.4,,,1.5,13.7,9.9,,0,0
"Chicken sandwich, grilled chicken + condiments + vegetables",1,169,335,1402,33,23,3,1.2,12,2.2,78,70,2.1,330,449,37,36,23,83,2,0.41,,,0.2,0.24,20.3,386,107,0.2,0.01,0.01,0.2,3.1,5.5,1.4,0,0
Donair / Gyro,1,195,310,1295,22,37,3,2.0,7,2.8,49,98,3.1,361,404,40,223,22,115,6,1.82,,,0.5,0.41,10.8,783,146,0.4,0.00,0.00,0.4,2.8,0.8,0.0,0,0
Fish sandwich with breaded fish,1,183,523,2189,21,48,,2.4,29,8.1,68,185,3.5,939,353,37,311,,134,3,1.08,,,0.5,0.42,8.3,,98,0.9,,,0.0,8.9,9.4,,0,0
"Hamburger, double patty + condiments",1,215,576,2410,32,39,,1.9,32,12.0,103,92,5.5,742,527,45,284,,111,1,3.33,,,0.3,0.41,13.1,,26,0.7,,,1.0,14.1,2.8,,0,0
"Hamburger, single patty, plain",1,90,275,1148,12,31,5,1.3,12,4.1,35,63,2.4,387,145,19,103,0,,0,0.89,,,0.3,0.27,6.2,,0,0.3,,,0.4,5.5,0.9,,0,0
