,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nutrient Value of Some Common Foods, 2008 edition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIXED DISHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A, Folate,Vitamin C,Vitamin B12,,,,,,,,,
,,g,kcal,kJ,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,RAE,DFE,mg,µg,,,,,,,,,
MEXICAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrito with beans and cheese,1,93,189,790,8,27,,3.8,6,3.4,14,107,1.1,583,248,40,90,49,52,1,0.45,,,,,,,,,
"Burrito with beef, cheese and chilli",1,152,316,1322,20,32,,2.2,12,5.2,85,111,3.9,1046,333,35,158,99,99,2,1.03,,,,,,,,,
Nachos with cheese,15-20 nachos,113,346,1446,9,36,,4.1,19,7.8,18,272,1.3,816,172,55,276,,,1,0.82,,,,,,,,,
Quesadilla with meat,1,184,627,2622,31,40,tr,2.5,38,17.3,95,442,3.9,1265,319,44,457,167,104,6,1.03,,,,,,,,,
Taco salad,250mL,129,193,807,12,13,2,2.0,11,4.1,35,92,1.3,452,275,29,138,40,18,4,0.58,,,,,,,,,
"Taco with beef, cheese, salsa + vegetables",1,78,168,704,9,12,,,9,5.2,26,101,1.1,366,216,32,93,,45,1,0.48,,,,,,,,,
SANDWICHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Club sandwich,1,246,558,2335,32,47,5,2.8,26,5.8,76,152,4.5,1152,480,47,347,43,163,6,0.48,,,,,,,,,
Hot chicken sandwich,1,284,388,1621,40,31,2,1.7,10,3.0,89,109,4.7,1344,519,43,327,0,96,0,0.54,,,,,,,,,
"Sandwich, egg salad",1,157,479,2003,14,27,3,1.2,35,6.6,335,119,2.9,693,155,19,187,153,121,0,0.92,,,,,,,,,
"Sandwich, ham",1,121,260,1089,13,28,2,2.1,10,2.6,32,92,2.5,1132,229,25,139,49,93,3,0.24,,,,,,,,,
