,,,,,,,,,,,,,,,,,,,,,,,
"Nutrient Value of Some Common Foods, 2008 edition",,,,,,,,,,,,,,,,,,,,,,,
SOUPS,,,,,,,,,,,,,,,,,,,,,,,
Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Folate ,Vitamin C,Vitamin B12,,
,,g,kcal,kJ,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,RAE,DFE,mg,µg,,
READY-TO-SERVE,,,,,,,,,,,,,,,,,,,,,,,
"Beef or chicken, broth/bouillon",250mL,254,18,74,3,tr,0,0,1,0.3,0,15,0.4,827,137,5,33,0,5,0,0.18,,
"Beef, chunky",250mL,254,180,753,12,21,2,1.5,5,2.7,15,33,2.5,915,355,5,127,137,15,7,0.66,,
"Chicken noodle, chunky",250mL,254,185,773,13,18,2,4.1,6,1.5,20,25,1.5,898,114,10,76,71,65,0,0.33,,
"Chicken noodle, low fat, reduced salt",250mL,257,105,444,9,13,1,2.1,2,1.0,13,21,0,501,,,,,,0,,,
"Chicken vegetable, chunky",250mL,254,175,733,13,20,,0.9,5,1.5,18,28,1.5,1128,388,10,112,317,13,6,0.25,,
"Clam chowder, Manhattan",250mL,254,142,593,8,20,4,3.0,4,2.2,15,71,2.8,1057,406,20,89,178,10,13,8.37,,
"Minestrone, chunky",250mL,254,134,563,5,22,6,6.1,3,1.6,5,63,1.9,913,647,15,117,226,72,5,0,,
"Split pea with ham, chunky",250mL,254,195,817,12,28,5,4.1,4,1.7,8,36,2.3,1019,322,41,188,259,5,7,0.25,,
"Vegetable, chunky",250mL,254,129,540,4,20,4,1.3,4,0.6,0,58,1.7,1068,418,8,76,307,18,6,0,,
"CONDENSED, DILUTED WITH WATER",,,,,,,,,,,,,,,,,,,,,,,
Beef noodle,250mL,258,88,366,5,9,2,0.8,3,1.2,5,15,1.2,1005,106,5,49,8,31,tr,0.21,,
Chicken broth,250mL,254,41,170,5,1,1,0,1,0.4,0,10,0.5,806,218,3,76,0,5,0,0.25,,
Chicken noodle,250mL,255,79,331,4,10,tr,0.8,3,0.7,8,18,0.8,1169,59,5,38,38,37,tr,0.15,,
Cream of mushroom,250mL,258,137,572,2,10,2,0.5,9,2.6,3,49,0.5,931,106,5,52,15,5,1,0.05,,
Tomato,250mL,258,90,376,2,18,9,1.2,2,0.4,0,13,1.9,735,278,8,36,26,15,3,0,,
"Tomato, reduced salt",250mL,258,90,376,2,19,8,0.5,2,0.4,0,13,1.9,52,278,8,36,44,18,70,0,,
Vegetables with beef,250mL,258,83,345,6,11,1,0.7,2,0.9,5,18,1.2,835,183,5,44,101,10,1,0.34,,
Vegetarian vegetable,250mL,255,76,318,2,13,4,0.5,2,0.3,0,23,1.1,868,222,8,36,122,10,2,0,,
"CONDENSED, DILUTED WITH 2% MILK",,,,,,,,,,,,,,,,,,,,,,,
"Clam chowder, New England",250mL,262,157,658,10,18,,1.6,5,1.9,16,202,1.6,1051,320,26,168,71,10,4,10.85,,
Cream of chicken,250mL,262,189,789,8,16,7,0.3,10,3.7,21,194,0.7,1108,293,21,162,86,,1,0.58,,
Cream of mushroom,250mL,262,202,844,6,16,,0.5,13,4.2,10,191,0.6,983,288,24,168,86,10,2,0.52,,
"Cream of mushroom, reduced salt",250mL,262,134,558,6,17,9,0.8,5,2.4,14,168,0.7,562,691,21,189,74,21,tr,0.50,,
Cream of tomato,250mL,262,155,647,6,24,0,1.3,5,1.9,10,173,1.9,802,480,26,160,69,22,4,0.47,,
"DEHYDRATED, PREPARED WITH WATER",,,,,,,,,,,,,,,,,,,,,,,
Chicken noodle,250mL,254,58,243,2,9,1,0.3,1,0.3,10,5,0.5,581,33,8,30,3,28,0,0.05,,
Minestrone,250mL,268,83,349,5,13,,0.8,2,0.9,3,40,1.1,1084,360,8,64,16,51,1,0,,
Onion,250mL,260,29,120,1,5,2,0.8,1,0.1,0,13,0.2,897,68,5,31,0,3,tr,0,,
"Ramen noodles, chicken flavour, cooked",250mL,258,162,678,3,20,,6.2,8,3.5,0,,1.2,792,,,,72,,0,,,
Tomato vegetable,250mL,255,56,234,2,10,2,0.5,1,0.4,0,8,0.6,1154,104,20,31,10,10,6,0,,
HOMEMADE,,,,,,,,,,,,,,,,,,,,,,,
Chicken noodle,250mL,255,135,564,19,7,2,0.9,3,0.7,64,26,1.1,336,302,30,168,136,28,3,0.22,,
Cream of vegetable,250mL,251,62,262,5,7,3,0.8,2,0.7,2,53,0.6,586,287,11,95,99,11,3,0.31,,
French onion,250mL,255,204,852,10,28,3,1.9,6,2.9,13,159,1.5,904,204,25,157,30,69,2,0.58,,
Lentil,250mL,262,193,805,12,27,3,5.1,5,0.4,0,41,3.3,654,365,41,171,45,69,6,0,,
Split pea with ham,250mL,267,190,797,13,31,5,3.8,2,0.6,7,39,1.9,312,437,50,176,56,70,2,0.04,,
Vegetable,250mL,252,49,204,3,8,2,1.4,1,0.2,0,34,0.7,692,336,16,58,93,20,11,0.14,,
