Nutrient Value of Some Common Foods - 2008 Edition,,,,,,,,,,,,,,,,,,,,,
VEGETABLES AND VEGETABLE PRODUCTS,,,,,,,,,,,,,,,,,,,,,
Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Total Fat,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Beta carotene,Lycopene,Folate,Vitamin C,Vitamin B12
,,g,kcal,kJ,g,g,g,g,g,mg,mg,mg,mg,mg,mg,RAE,µg,µg,DFE,mg,µg
VEGETABLES,,,,,,,,,,,,,,,,,,,,,
"Alfalfa sprouts, raw",60mL,8,2,10,tr,tr,tr,0.2,tr,3,0.1,1,7,2,6,1,7,0,3,1,0
"Artichoke hearts, canned in water",1 heart,27,13,56,1,3,tr,1,tr,12,0.3,74,95,16,23,2,28,0,14,3,0
"Artichoke hearts, marinated in oil",1 heart,28,27,111,1,3,tr,1,2,12,0.3,79,93,16,23,2,28,0,13,3,0
"Artichoke, boiled, drained",1 medium,120,60,251,4,13,1,4.7,tr,54,1.5,114,425,72,103,11,127,0,61,12,0
"Asparagus, canned, drained",6 spears,108,21,85,2,3,1,1.5,1,17,2,310,186,11,46,44,532,26,104,20,0
"Asparagus, fresh or frozen, boiled, drained",6 spears,90,18,75,2,3,1,1.6,tr,18,0.7,8,178,11,46,41,489,24,128,14,0
"Bean sprouts, stir-fried",125mL,66,33,137,3,7,,1.2,tr,9,1.2,6,143,22,52,1,12,,46,10,0
"Beans, lima, frozen, boiled, drained",125mL,95,100,417,6,18,1,4,tr,27,1.9,28,391,53,107,8,95,0,15,6,0
"Beans, snap (green, yellow, Italian), canned, drained",125mL,71,14,60,1,3,1,1.5,tr,19,0.6,187,78,9,14,16,186,0,23,2,0
"Beans, snap (green, yellow, Italian), fresh or frozen, boiled, drained",125mL,71,22,94,1,5,1,1.9,tr,33,0.5,4,97,15,21,22,269,0,20,5,0
"Beets, pickled, sliced, not drained",125mL,120,78,326,1,20,,2.2,tr,13,0.5,317,177,18,20,1,7,,32,3,0
"Beets, sliced, boiled, drained",125mL,90,40,165,2,9,7,1.8,tr,14,0.7,69,274,21,34,2,19,0,72,3,0
"Beets, sliced, canned, drained",125mL,90,28,117,1,6,5,1.9,tr,13,1.6,174,133,15,15,1,13,0,27,6,0
"Belgium endive, raw",1 endive,53,9,38,tr,2,,1.6,tr,10,0.1,1,112,5,14,1,9,,20,1,0
"Bok Choy, Pak-Choi, shredded, boiled, drained",125mL,90,11,45,1,2,1,0.9,tr,84,0.9,31,333,10,26,190,2289,0,37,23,0
"Broccoli, chopped, boiled, drained",125mL,82,29,120,2,6,1,2,tr,33,0.6,34,241,17,55,81,973,0,89,53,0
"Broccoli, chopped, raw",125mL,46,16,66,1,3,1,1.1,tr,22,0.3,15,147,10,31,15,178,0,29,41,0
"Broccoli, frozen spears, boiled, drained",125mL,97,27,114,3,5,1,2.3,tr,50,0.6,23,175,19,53,54,645,0,29,39,0
"Brussels sprouts, fresh or frozen, boiled, drained",4 sprouts,84,33,137,3,6,2,3.2,tr,26,0.7,15,255,16,47,36,428,0,68,45,0
"Cabbage, green, shredded, boiled, drained",125mL,79,17,73,1,4,2,1.3,tr,25,0.1,6,77,6,12,6,59,0,16,16,0
"Cabbage, green, shredded, raw",125mL,37,9,37,1,2,1,0.7,tr,17,0.2,7,91,6,9,3,33,0,16,12,0
"Cabbage, napa, shredded, boiled, drained",125mL,58,7,29,1,1,,,tr,17,0.4,6,50,5,11,7,77,0,25,2,0
"Cabbage, red, shredded, raw",125mL,37,11,48,1,3,1,0.8,tr,17,0.3,10,90,6,11,21,248,7,7,21,0
"Carrots, baby, raw",8,80,28,117,1,7,4,1.4,tr,26,0.7,62,190,8,22,552,5113,0,26,7,0
"Carrots, fresh or frozen, boiled, drained",125mL,77,28,116,1,6,3,1.9,tr,25,0.3,45,165,8,24,652,6333,1,10,2,0
"Carrots, raw",1 medium,61,25,104,1,6,3,1.5,tr,20,0.2,42,195,7,21,367,3522,1,12,4,0
"Cauliflower, pieces, boiled, drained",125mL,66,15,63,1,3,1,1.8,tr,10,0.2,10,93,6,21,1,5,0,29,29,0
"Cauliflower, pieces, raw",125mL,53,13,55,1,3,1,0.9,tr,12,0.2,16,160,8,23,1,4,0,30,25,0
"Celery, raw",1,40,6,24,tr,1,1,0.6,tr,16,0.1,32,104,4,10,9,108,0,14,1,0
"Corn, sweet, canned, cream style",125mL,135,97,407,2,25,4,1.8,1,4,0.5,385,181,23,69,5,41,0,61,6,0
"Corn, sweet, canned, niblets",125mL,111,88,366,3,22,4,2.3,1,6,0.5,302,206,26,71,4,37,0,54,6,0
"Corn, sweet, on or off cob, fresh or frozen, boiled, drained",125mL,87,82,343,3,19,3,2,1,2,0.5,8,209,26,79,7,50,0,35,4,0
"Cucumber, peeled, raw",4 slices,28,3,14,tr,1,tr,0.2,tr,4,0.1,1,38,3,6,1,9,0,4,1,0
Edamame,125mL,82,100,417,9,8,2,4.3,4,52,1.9,5,357,52,138,,,,255,5,0
"Eggplant, pieces, boiled, drained",125mL,52,18,76,tr,5,2,1.3,tr,3,0.1,1,64,6,8,1,12,0,7,1,0
