"Latitude","Longitude","ID","TreeType"
49.220271,-123.0293224,2,"apple"
49.220271,-123.0293224,2,"hazelnut"
49.2739359,-123.083385,3,"apple"
49.2739359,-123.083385,3,"pear"
49.2739359,-123.083385,3,"plum"
49.2739359,-123.083385,3,"plum"
49.2739359,-123.083385,3,"plum"
49.2739359,-123.083385,3,"cherry"
49.2739359,-123.083385,3,"cherry"
49.2739359,-123.083385,3,"cherry"
49.2739359,-123.083385,3,"cherry"
49.2739359,-123.083385,3,"pear"
49.2739359,-123.083385,3,"pear"
49.2739359,-123.083385,3,"pear"
49.2739359,-123.083385,3,"pear"
49.2739359,-123.083385,3,"pear"
49.2739359,-123.083385,3,"persimmon"
49.2739359,-123.083385,3,"plum"
49.2739359,-123.083385,3,"apple"
49.2739359,-123.083385,3,"apple"
49.2739359,-123.083385,3,"apple"
49.2739359,-123.083385,3,"cherry"
49.2664025,-123.1504383,4,"apple"
49.2664025,-123.1504383,4,"pear"
49.2664025,-123.1504383,4,"plum"
49.2664025,-123.1504383,4,"apricot"
49.2664025,-123.1504383,4,"hazelnut"
49.2664025,-123.1504383,4,"pear"
49.2082762,-123.1518406,5,"apple"
49.2739359,-123.083385,8,"apple"
49.2739359,-123.083385,8,"cherry"
49.2739359,-123.083385,8,"plum"
49.2739359,-123.083385,8,"pear"
49.2739359,-123.083385,8,"hazelnut"
49.2739359,-123.083385,8,"plum"
49.2739359,-123.083385,8,"apple"
49.2739359,-123.083385,8,"apple"
49.2643344,-123.108185,9,"plum"
49.2643344,-123.108185,9,"plum"
49.2643344,-123.108185,9,"pear"
49.2643344,-123.108185,9,"pear"
49.2643344,-123.108185,9,"pear"
49.2568294,-123.0993208,14,"apple"
49.2568294,-123.0993208,14,"berry"
49.2568294,-123.0993208,14,"berry"
49.2568294,-123.0993208,14,"grape"
49.2436639,-123.048196,16,"apple"
49.2436639,-123.048196,16,"pear"
49.2436639,-123.048196,16,"persimmon"
49.2436639,-123.048196,16,"walnut"
49.2824171,-123.1316422,17,"plum"
49.2652991,-123.084993,22,"cherry"
49.2652991,-123.084993,22,"plum"
49.2652991,-123.084993,22,"apple"
49.2611153,-123.07798,24,"apple"
49.2611153,-123.07798,24,"cherry"
49.2611153,-123.07798,24,"pear"
49.2611153,-123.07798,24,"plum"
49.2516505,-123.1222139,25,"pear"
49.2516505,-123.1222139,25,"apple"
49.2516505,-123.1222139,25,"plum"
49.2516505,-123.1222139,25,"cherry"
49.262084,-123.077841,29,"plum"
49.251444,-123.0642552,35,"apple"
49.251444,-123.0642552,35,"apple"
49.251444,-123.0642552,35,"cherry"
49.251444,-123.0642552,35,"cherry"
49.251444,-123.0642552,35,"cherry"
49.251444,-123.0642552,35,"plum"
49.251444,-123.0642552,35,"plum"
49.251444,-123.0642552,35,"plum"
49.251444,-123.0642552,35,"persimmon"
49.251444,-123.0642552,35,"plum"
49.2633118,-123.0787175,36,"apple"
49.2633118,-123.0787175,36,"plum"
49.2633118,-123.0787175,36,"berry"
49.2459664,-123.099148,37,"apple"
49.288757,-123.0361825,44,"apple"
49.288757,-123.0361825,44,"pear"
49.288757,-123.0361825,44,"cherry"
49.236648,-123.0896066,47,"pear"
49.236648,-123.0896066,47,"pear"
49.2825401,-123.0581806,54,"apple"
49.2825401,-123.0581806,54,"plum"
49.221493,-123.1683146,55,"cherry"
49.221493,-123.1683146,55,"apple"
49.2414955,-123.0480587,59,"plum"
49.2414955,-123.0480587,59,"apple"
49.2177463,-123.1482727,60,"pear"
49.2177463,-123.1482727,60,"persimmon"
49.2629678,-123.0703978,61,"plum"
49.2749642,-123.0786181,63,"pear"
49.2749642,-123.0786181,63,"plum"
49.2749642,-123.0786181,63,"cherry"
49.2749642,-123.0786181,63,"persimmon"
49.2550923,-123.0300574,65,"apple"
49.2550923,-123.0300574,65,"cherry"
49.2550923,-123.0300574,65,"plum"
49.2550923,-123.0300574,65,"pear"
49.2550923,-123.0300574,65,"peach"
49.2134354,-123.0539872,66,"apple"
49.2134354,-123.0539872,66,"cherry"
49.2449656,-123.0467647,72,"plum"
49.2449656,-123.0467647,72,"apple"
49.2449656,-123.0467647,72,"cherry"
49.2449656,-123.0467647,72,"cherry"
49.2762276,-123.0255043,75,"apple"
49.2762276,-123.0255043,75,"apple"
49.2762276,-123.0255043,75,"plum"
49.2762276,-123.0255043,75,"pear"
49.2762276,-123.0255043,75,"cherry"
49.2762276,-123.0255043,75,"cherry"
49.2403942,-123.0491218,76,"apple"
49.2403942,-123.0491218,76,"pear"
49.2403942,-123.0491218,76,"pear"
49.2403942,-123.0491218,76,"cherry"
49.2403942,-123.0491218,76,"plum"
49.250166,-123.093947,77,"apple"
49.250166,-123.093947,77,"berry"
49.2376052,-123.0975115,78,"apple"
49.2362316,-123.0311899,79,"quince"
49.2362316,-123.0311899,79,"pear"
49.2362316,-123.0311899,79,"berry"
49.2362316,-123.0311899,79,"plum"
49.2442721,-123.1852852,80,"apple"
49.2442721,-123.1852852,80,"pear"
49.2442721,-123.1852852,80,"cherry"
49.2161584,-123.0817007,81,"apple"
49.2161584,-123.0817007,81,"pear"
49.2161584,-123.0817007,81,"cherry"
49.273327,-123.1514277,82,"apple"
49.273327,-123.1514277,82,"apple"
49.273327,-123.1514277,82,"pear"
49.273327,-123.1514277,82,"pear"
49.273327,-123.1514277,82,"persimmon"
49.2571286,-123.1062536,86,"apple"
49.2571286,-123.1062536,86,"apple"
49.2571286,-123.1062536,86,"plum"
49.2571286,-123.1062536,86,"cherry"
49.2571286,-123.1062536,86,"cherry"
49.2571286,-123.1062536,86,"pear"
49.2571286,-123.1062536,86,"pear"
49.2571286,-123.1062536,86,"persimmon"
49.2571286,-123.1062536,86,"lemon"
49.2571286,-123.1062536,86,"cherry"
49.2641072,-123.0964139,87,"apple"
49.2641072,-123.0964139,87,"apple"
49.2641072,-123.0964139,87,"apple"
49.2641072,-123.0964139,87,"apple"
49.2641072,-123.0964139,87,"apple"
49.2641072,-123.0964139,87,"apple"
49.2641072,-123.0964139,87,"apple"
49.2641072,-123.0964139,87,"cherry"
49.2641072,-123.0964139,87,"cherry"
49.2641072,-123.0964139,87,"persimmon"
49.2641072,-123.0964139,87,"cherry"
49.2668444,-123.091642,93,"apple"
49.2668444,-123.091642,93,"berry"
49.2668444,-123.091642,93,"berry"
49.2668444,-123.091642,93,"berry"
49.2662995,-123.12677,108,"apple"
49.2662995,-123.12677,108,"apple"
49.28618,-123.0453833,116,"apple"
49.2524296,-123.1764742,117,"apple"
49.2663229,-123.1417092,123,"apple"
49.2663229,-123.1417092,123,"pear"
49.2663229,-123.1417092,123,"plum"
49.2663229,-123.1417092,123,"cherry"
49.2662772,-123.1456636,131,"pear"
49.2507172,-123.1549951,135,"apple"
49.2867842,-123.1324047,136,"apple"
49.2912065,-123.0519175,137,"cherry"
49.2565789,-123.171486,138,"apple"
49.2164913,-123.0326603,139,"apple"
49.2732079,-123.0308947,140,"apple"
49.2658197,-123.152619,141,"cherry"
49.2658197,-123.152619,141,"pear"
49.2658197,-123.152619,141,"plum"
49.2658197,-123.152619,141,"hazelnut"
49.2111116,-123.0380764,142,"cherry"
49.2111116,-123.0380764,142,"pear"
49.2735193,-123.0705385,143,"plum"
49.2718445,-123.2144218,144,"apple"
